code_span,mid_homophone,decode,code_pinyin,decode_pinyin,code_ipa,decode_ipa,coded_lang_class
🦐,虾,瞎,xia1,xia1,ɕja˥,ɕja˥,emoji
🐂皮,牛皮,牛逼,niu2 pi2,niu2 bi1,njou̯˧˥ pʰi˧˥,njou̯˧˥ pi˥,emoji
🐒,猴,好,hou2,hao3,xǒʊ̯,xɑ̀ʊ̯,emoji
🇰🇷🐟,韩国鱼,韩国瑜,han2 guo2 yu2,han2 guo2 yu2,xǎn.kwɔ̌.y̌,xǎn.kwɔ̌.y̌,emoji
1️⃣丁💊🔟🔟👀,一丁药十十看,一定要试试看,yi1 ding1 yao4 shi2 shi2 kan4,yi2 ding4 yao4 shi4 shi4 kan4,í.tíŋ.jɑ̂ʊ̯.ʂɻ̩̌.ʂɻ̩̌.kʰân,ǐ.tîŋ.jɑ̂ʊ̯.ʂɻ̩̂.ʂɻ̩̂.kʰân,emoji
🌶️🐔,辣鸡,垃圾,la4 ji1,la1 ji1,lä̂.t͡ɕí,lä́.t͡ɕí,emoji
🐘人🈸️1️⃣🐑🉐️,象人申一羊得,像人参一下样的,xiang4 ren2 shen1 yi1 yang3 de,xiang4 ren2 shen1 yi1 xia4 yang4 de,ɕjɑ̂ŋ.ɻə̌n.ʂə́n.í.jɑ̀ŋ.tɤ,ɕjɑ̂ŋ.ɻə̌n.ʂə́n.í.ɕjä̂.jɑ̂ŋ.tɤ,emoji
铁🍔🍔,铁汉汉,铁憨憨,tie3 han4 han4,tie3 han1 han1,tʰjɛ̀.xân.xân,tʰjɛ̀.xán.xán,emoji
6,六,厉害,liu4,li4 hai4,ljou̯˥˩,li˥˩ xai̯˥˩,ambiguous_homophone
8,八,不,ba1,bu4,pa˥,pu˥˩,ambiguous_homophone
⑤,五,不,wu3,bu4,u˧˩˧,pu˥˩,emoji
⑧,八,不,ba1,bu4,pa˥,pu˥˩,emoji
94,九四,就是,jiu3 si4,jiu4 shi4,tɕjou̯˧˩˧ sɹ̩˥˩,tɕjou̯˥˩ ʂɻ̩˥˩,ambiguous_homophone
ball ball,球球,求求,qiu2 qiu2,qiu2 qiu2,tɕʰjou̯˧˥ tɕʰjou̯˧˥,tɕʰjou̯˧˥ tɕʰjou̯˧˥,cross-lingual
米国,,美国,mi3 guo2,mei3 guo2,mi˧˩˧ kwo˧˥,mei̯˧˩˧ kwo˧˥,non_lexical_homophone
妹纸,,妹子,mei4 zhi3,mei4 zi,mei̯˥˩ ʈʂɻ̩˧˩˧,mei̯˥˩ tsɹ̩,non_lexical_homophone
